Model,Dataset,Type,RMSE,MAE,R2,Accuracy,Precision,Recall,F1-Score
SBOA,Auto-MPG,regression,3.0552,2.2415,0.8264,,,,
SBOA,Energy Efficiency (ENB2012),regression,5.4413,4.4181,0.7159,,,,
SBOA,Concrete Compressive Strength,regression,12.9406,10.7598,0.3501,,,,
SBOA,Real Estate Valuation,regression,8.8822,7.0800,0.5297,,,,
SBOA,Breast Cancer Wisconsin,classification,,,,0.9500,0.9524,0.8889,0.9195
SBOA,Blood Transfusion,classification,,,,0.7533,0.0000,0.0000,0.0000
SBOA,Data Banknote Authentication,classification,,,,0.7236,1.0000,0.4016,0.5730
SBOA,Tic-Tac-Toe Endgame,classification,,,,0.6979,0.6914,0.9680,0.8067
ABC,Auto-MPG,regression,4.5210,3.7913,0.6198,,,,
ABC,Energy Efficiency (ENB2012),regression,6.3385,5.1652,0.6145,,,,
ABC,Concrete Compressive Strength,regression,13.7338,11.2685,0.2680,,,,
ABC,Real Estate Valuation,regression,10.2225,8.6656,0.3771,,,,
ABC,Breast Cancer Wisconsin,classification,,,,0.9071,0.9706,0.7333,0.8354
ABC,Blood Transfusion,classification,,,,0.7533,0.0000,0.0000,0.0000
ABC,Data Banknote Authentication,classification,,,,0.6291,0.8788,0.2283,0.3625
ABC,Tic-Tac-Toe Endgame,classification,,,,0.6771,0.6780,0.9600,0.7947
GTO,Auto-MPG,regression,3.1101,2.2962,0.8201,,,,
GTO,Energy Efficiency (ENB2012),regression,4.6450,3.6767,0.7930,,,,
GTO,Concrete Compressive Strength,regression,12.0909,9.9529,0.4327,,,,
GTO,Real Estate Valuation,regression,8.3051,6.4565,0.5888,,,,
GTO,Breast Cancer Wisconsin,classification,,,,0.9714,0.9556,0.9556,0.9556
GTO,Blood Transfusion,classification,,,,0.7533,0.0000,0.0000,0.0000
GTO,Data Banknote Authentication,classification,,,,0.6509,1.0000,0.2441,0.3924
GTO,Tic-Tac-Toe Endgame,classification,,,,0.7344,0.7256,0.9520,0.8235
GWO,Auto-MPG,regression,4.3124,3.5070,0.6541,,,,
GWO,Energy Efficiency (ENB2012),regression,6.7337,5.4528,0.5650,,,,
GWO,Concrete Compressive Strength,regression,13.7122,11.1995,0.2703,,,,
GWO,Real Estate Valuation,regression,9.5546,8.0713,0.4558,,,,
GWO,Breast Cancer Wisconsin,classification,,,,0.9429,0.9744,0.8444,0.9048
GWO,Blood Transfusion,classification,,,,0.7533,0.0000,0.0000,0.0000
GWO,Data Banknote Authentication,classification,,,,0.5600,1.0000,0.0472,0.0902
GWO,Tic-Tac-Toe Endgame,classification,,,,0.6510,0.6510,1.0000,0.7886
MFO,Auto-MPG,regression,4.3437,3.4736,0.6491,,,,
MFO,Energy Efficiency (ENB2012),regression,6.8889,5.5922,0.5447,,,,
